256,złodziej
51,przestępstwo
39,zło
25,pieniądze
21,portfel
19,pieniędzy
16,mienia
13,rabunek
11,kieszonkowiec
10,kieszonkowa
10,zbrodnia
9,samochodu
8,cukierka
8,oszustwo
8,włamanie
7,złodziejstwo
6,kara
6,portfela
6,więzienie
5,grzech
5,kieszeń
5,pieniedzy
5,zła
4,łup
4,pieniądz
4,policja
4,rzeczy
4,samochód
4,sklep
4,złota
3,auto
3,napad
3,przywłaszczenie
3,zegarek
3,zegarka
3,złość
3,życia
2,bank
2,czyn
2,doskonała
2,dóbr
2,koń
2,kraść
2,mienie
2,morderstwo
2,rabuś
2,sąd
2,smutek
2,torebka
2,ukraść
2,"z włamaniem"
2,zabieranie
2,zawłaszczenie
2,"zły uczynek"
2,zuchwała